Feature_Index,Mean,Std_Dev
0,46.06,16.619759324370495
1,64.49408,14.338618467397758
2,22.736690000000003,5.929210769056874
3,1.435,1.0971668059142148
4,0.0,1.0
5,1.035,0.7973550024926163
6,5.461860000000001,2.6120360143765247
7,1.042,0.8063721225340073
8,43.468,15.48292530499324
9,64.80908000000001,11.52564449189719
10,18.0,1.0
11,70.0,1.0
12,45.0,1.0
13,85.0,1.0
14,0.7933300000000001,0.11266415179638996
15,84.62615,8.346014730247006
16,0.27,0.4439594576084623
17,0.251,0.43358851460803244
18,0.221,0.41492047430802925
19,0.505,0.4999749993749687
20,0.497,0.4999909999189985
21,0.504,0.49998399974399177
